CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
182,182,"Tailspin Toys (Hayes Center, NE)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ayberk sahin,90352,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
183,183,"Tailspin Toys (Tierra Verde, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kaan Tekin,90195,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
184,184,"Tailspin Toys (South Euclid, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lata Khandke,90551,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
185,185,"Tailspin Toys (Vidrine, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Truman Eder,90272,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
186,186,"Tailspin Toys (Placer, OR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lorraine Paulet,90628,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
187,187,"Tailspin Toys (Brown City, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Biplab De,90503,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
188,188,"Tailspin Toys (Premont, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rachelle Brasseur,90375,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
189,189,"Tailspin Toys (Wilkes-Barre, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sara Charlton,90766,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
190,190,"Tailspin Toys (Teutopolis, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ramesh Mukherjee,90591,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
191,191,"Tailspin Toys (Orchard Hill, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ester Ahmadian,90698,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
192,192,"Tailspin Toys (Optimo, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniel Magnusson,90080,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
193,193,"Tailspin Toys (Knifley, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jack Carpenter,90298,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
194,194,"Tailspin Toys (Naples Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Thomas Fischer,90386,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
273,472,"Wingtip Toys (San Jacinto, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Slavko Pavlovic,90017,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
274,473,"Wingtip Toys (Floriston, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Doru Munteanu,90298,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
275,474,"Wingtip Toys (Bokeelia, FL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Aile Aasmae,90757,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
276,475,"Wingtip Toys (Cale, AR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ava Edden,90643,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
277,476,"Wingtip Toys (Karthaus, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Manali Bose,90362,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
278,477,"Wingtip Toys (Glancy, MS)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Astrid Poisson,90294,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
279,478,"Wingtip Toys (Stoneboro, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Gi-Suk Heo,90542,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
280,479,"Wingtip Toys (Mier, IN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Irma Kruze,90474,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
281,480,"Wingtip Toys (Wapinitia, OR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Dhaeraemdranaadh Pamulaparthi,90173,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
282,481,"Wingtip Toys (White Church, MO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Agrita Kalnina,90184,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
283,482,"Wingtip Toys (Caton, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ravindra Sandhu,90250,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
284,483,"Wingtip Toys (Plum Branch, SC)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Klara Rakus,90631,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
285,484,"Wingtip Toys (Mauldin, SC)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Am Lo,90243,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
286,485,"Wingtip Toys (Bonner Springs, KS)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Sophie Van Lier,90715,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
287,486,"Wingtip Toys (Lowellville, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Dimitry Profis,90737,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
288,487,"Wingtip Toys (Elverson, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Jan Zeman,90147,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
289,488,"Wingtip Toys (Isabela, PR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ranjit Dikshit,90320,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
290,489,"Wingtip Toys (Sayner, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Varuna Ganguly,90541,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
291,490,"Wingtip Toys (Beals, ME)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Basak Tekin,90772,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
292,491,"Wingtip Toys (Morton Grove, IL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Doru Tirlea,90336,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
293,492,"Wingtip Toys (Birds, IL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Jessica Perrine,90393,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
294,493,"Wingtip Toys (Federalsburg, MD)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Yavuz Cetinkaya,90373,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
295,494,"Wingtip Toys (Pikeview, CO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Sirirat Kongpaisarn,90478,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
296,495,"Wingtip Toys (Boalsburg, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Claude Bonsaint,90247,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
297,496,"Wingtip Toys (Port Hueneme, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Roman Pajer,90726,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
298,497,"Wingtip Toys (Verdery, SC)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Vitezslav Holy,90108,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
299,498,"Wingtip Toys (Obetz, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Devi Dewangan,90143,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
300,499,"Wingtip Toys (East Fultonham, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Masa Buecek,90032,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
301,500,"Wingtip Toys (Obion, TN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bipin Modi,90451,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
302,501,"Wingtip Toys (Cavendish, VT)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Rahul Sarma,90672,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
303,502,"Wingtip Toys (Miesville, MN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Alejandro Escobar,90728,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
304,503,"Wingtip Toys (Valhalla, NC)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Andris Vitols,90310,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
305,504,"Wingtip Toys (Cape Neddick, ME)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Mariela Weitzer,90296,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
306,505,"Wingtip Toys (Silver Plume, CO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Alain Pelland,90797,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
307,506,"Wingtip Toys (North Beach Haven, NJ)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Milica Stojkovic,90311,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
308,507,"Wingtip Toys (Downingtown, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Natalie Horackova,90133,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
309,508,"Wingtip Toys (Branson West, MO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Baalaaditya Rallapalli,90016,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
310,509,"Wingtip Toys (Bergen Park, CO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Matej Formanek,90278,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
311,510,"Wingtip Toys (Grabill, IN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Manish Ghosh,90032,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
